State,Customer,Orders,%,Ratio
SP,40302,41746,41.980671956235355,1.0358294873703537
RJ,12384,12852,12.924246538148248,1.0377906976744187
MG,11259,11635,11.700405265433774,1.0333955058175681
RS,5277,5466,5.496726702265665,1.0358158044343377
PR,4882,5045,5.073360082863205,1.0333879557558379
