city,state,orders_deliverd,late_orders,mean_late_days,late_percentage
ponta grossa,PR,141,8,0.41134751773049644,5.67
pontal,SP,12,0,0.0,0.0
pontal do parana,PR,8,0,0.0,0.0
pontalinda,SP,2,1,0.5,50.0
pontao,RS,1,0,0.0,0.0
ponte nova,MG,39,1,0.07692307692307693,2.56
pontes gestal,SP,1,0,0.0,0.0
ponto do marambaia,MG,1,0,0.0,0.0
ponto dos volantes,MG,2,0,0.0,0.0
populina,SP,1,0,0.0,0.0
porangaba,SP,2,0,0.0,0.0
porciuncula,RJ,8,0,0.0,0.0
porecatu,PR,9,0,0.0,0.0
portao,RS,10,0,0.0,0.0
porteirinha,MG,5,1,1.6,20.0
portela,RJ,1,1,6.0,100.0
porto alegre,RS,1341,158,1.174496644295302,11.78
porto amazonas,PR,2,0,0.0,0.0
porto feliz,SP,21,0,0.0,0.0
porto ferreira,SP,26,3,0.19230769230769232,11.54
porto firme,MG,2,0,0.0,0.0
porto lucena,RS,1,0,0.0,0.0
porto real,RJ,7,4,11.714285714285714,57.14
porto rico,PR,1,0,0.0,0.0
porto xavier,RS,5,0,0.0,0.0
pote,MG,3,0,0.0,0.0
potim,SP,2,0,0.0,0.0
potirendaba,SP,8,0,0.0,0.0
pouso alegre,MG,128,12,0.6328125,9.38
pouso alto,MG,3,0,0.0,0.0
pouso novo,RS,1,0,0.0,0.0
pradopolis,SP,10,0,0.0,0.0
prados,MG,3,0,0.0,0.0
praia grande,SP,296,28,1.1993243243243243,9.46
pranchita,PR,1,0,0.0,0.0
prata,MG,10,0,0.0,0.0
pratapolis,MG,1,0,0.0,0.0
presidente alves,SP,2,0,0.0,0.0
presidente bernardes,SP,5,0,0.0,0.0
presidente epitacio,SP,23,1,0.13043478260869565,4.35
presidente kubitschek,MG,2,0,0.0,0.0
presidente lucena,RS,1,0,0.0,0.0
presidente olegario,MG,6,0,0.0,0.0
presidente prudente,SP,157,11,0.5159235668789809,7.01
presidente venceslau,SP,22,4,1.0454545454545454,18.18
primavera,SP,9,1,2.7777777777777777,11.11
primeiro de maio,PR,7,0,0.0,0.0
progresso,RS,1,0,0.0,0.0
promissao,SP,31,2,0.8064516129032258,6.45
protasio alves,RS,2,0,0.0,0.0
prudente de morais,MG,2,0,0.0,0.0
prudentopolis,PR,7,0,0.0,0.0
pureza,RJ,1,0,0.0,0.0
purilandia,RJ,1,0,0.0,0.0
putinga,RS,2,0,0.0,0.0
quadra,SP,2,0,0.0,0.0
quarai,RS,4,0,0.0,0.0
quata,SP,12,0,0.0,0.0
quatigua,PR,5,0,0.0,0.0
quatis,RJ,5,0,0.0,0.0
quatituba,MG,1,0,0.0,0.0
quatro barras,PR,18,1,0.1111111111111111,5.56
quatro pontes,PR,1,0,0.0,0.0
quedas do iguacu,PR,8,0,0.0,0.0
